quote|author|category
Being on a trapeze is like dreaming. I feel totally outside of myself when I'm flying. You know, designing shoes, my imagination is flying in my drawings.|Christian Louboutin|Myself, Shoes, Flying 
I always appreciated the magnitude of my mother's imagination. She always saw beauty in what was broken, and she'd preserve it.|Blake Lively|Beauty, Mother, Broken 
I know there's been a lot that's been said about animated voice work, as though it's 'you can do this in your jeans and there's no camera and no pressure there. It's no big deal. It's easy.' The truth is, it's really a great test: how deep is your ability is to access your imagination?|Nicolas Cage|Work, Truth, Great 
Science fiction is a way that I can go into the abstract, go into the imagination, and audiences are still willing to go along for the ride.|Nicolas Cage|Science, Ride, I Can 
Often you hear stories about never working with children. I disagree because children still have that residual magical thinking. They haven't had their imagination knocked out of them by turning into adults and life experiences.|Nicolas Cage|Life, Children, Thinking 
I tend to like to read history - recent history, because I find that much more intriguing than just a writer's imagination.|Jesse Ventura|History, Find, Like 
Doubt is the father of invention.|Ambrose Bierce|Father, Doubt, Invention 
Liberty: One of Imagination's most precious possessions.|Ambrose Bierce|Liberty, Precious 
I use so much of myself in everything I do. I think every actor does because you have no one else to go to but yourself and your own imagination.|Pierce Brosnan|Myself, Yourself, Think 
Free enterprise empowers entrepreneurs who have ideas and imagination, investors who take risks, and workers who hone their skills and offer their labor.|Paul Ryan|Ideas, Free, Risks 
Imagination is a poor matter when it has to part company with understanding.|Thomas Carlyle|Understanding, Company 
Imagination is a pretty powerful thing, and when you're in the moment and you're riding a train and you're asked to look scared, I don't know, it just kind of works out. And in those moments where you're actually doing some of the stunts, then it's not so hard at all, because there's an actual fear there.|Chris Pine|Fear, Powerful, Moments 
I came from a childhood where I spent a lot of time alone and a lot of time just living with my imagination, and a certain amount of the adult world was kind of alienating.|Chris Cornell|Time, Alone, Childhood 
There's a particular sensitivity required to be an artist, and a certain vulnerability, perhaps, and also, somewhere between, you're in your body a lot, too. It's much more physical than one would imagine because I think it's the body where the imagination lives somehow. I do feel the imagination isn't just in the brain up there.|Michael Leunig|Brain, Artist, Think 
I love theatrics and have a huge imagination: Why would I want to sit onstage and sing a bunch of ballads back-to-back?|Christina Aguilera|Love, Want, Why 
No film has captivated my imagination more than 'King Kong.' I'm making movies today because I saw this film when I was 9 years old.|Peter Jackson|Today, King, Movies 
'The Lord of the Rings,' published in the mid-1950s, was intended as a prehistory to our own world. It was perceived by Tolkien to be a small but significant episode in a vast alternate mythology constructed entirely out of his own imagination.|Peter Jackson|World, Small, Mythology 
Because of my faith and my imagination, I was able to enjoy my childhood, even though it was tough.|Donna Brazile|Faith, Childhood, Enjoy 
I have a huge, active imagination, and I think I'm really scared of being alone; because if I'm left to my own devices, I'll just turn into a madwoman.|Claire Danes|Alone, Being Alone, Think 
I've always had a really active imagination. Lots of kids have imaginary friends. Mine just took on a rather demonic form.|Claire Danes|Friends, Always, Kids 
There is a boundary to men's passions when they act from feelings but none when they are under the influence of imagination.|Edmund Burke|Men, Influence, Feelings 
But if I have a lot of imagination, I could tell myself whatever I wanted, you know. I handle myself quite well. I'm kind of fascist with myself, you know. There's no discussion. There is an order. You follow it.|Karl Lagerfeld|Myself, Know, You 
I do a lot of curiosity buying; I buy it if I like the album cover, I buy it if I like the name of the band, anything that sparks my imagination.|Bruce Springsteen|Curiosity, Name, Band 
I suspect that even most conservatives would prefer to live in the kind of world conjured up in the liberals' imagination rather than in the kind of world we are in fact stuck with.|Thomas Sowell|World, Live, Kind 
Obviously the imagination is fueled by emotions beyond the control of the conscious mind.|Joyce Carol Oates|Mind, Control, Emotions 
There can be no passion, and by consequence no love, where there is not imagination.|William Godwin|Love, Passion, No Love 
There must be room for the imagination to exercise its powers we must conceive and apprehend a thousand things which we do not actually witness.|William Godwin|Exercise, Must, Things 
There is nothing that human imagination can figure brilliant and enviable that human genius and skill do not aspire to realize.|William Godwin|Genius, Realize, Skill 
I'd stand on the side of the road when I was just a little girl singing on trash cans. People would roll down their windows saying, 'Isn't she cute'. I had a vivid imagination. I always pretended it was some big stage.|Missy Elliott|Road, Girl, Cute 
My imagination is so far out there already. People couldn't imagine what goes on in my brain.|Missy Elliott|Brain, People, Imagine 
The theater itself is a lie. Its deaths are mere special effects. Its tales never happened. Even the histories are distorted for dramatic effect. The theater is unnatural, a place of imagination. But the theater tells the audience something true: that the world requires judgments.|Virginia Postrel|Lie, World, Place 
'A Princess of Mars' may not have exerted the same colossal pull that Tarzan had on the global imagination, but its influence on generations of readers cannot be underestimated.|Junot Diaz|Influence, Princess, Mars 
Speculators get a bad rap. In the popular imagination they're greedy, heedless, and amoral, adept at price manipulations and dirty tricks. In reality, they often play a key role in making markets run smoothly.|James Surowiecki|Reality, Play, Run 
There's basically an element of fiction in everything you remember. Imagination and memory are almost the same brain processes. When I write fiction, I know that I'm using a bunch of lies that I've made up to create some form of truth. When I write a memoir, I'm using true elements to create something that will always be somehow fictionalized.|Isabel Allende|Truth, Memory, Brain 
A nickname is the heaviest stone that the devil can throw at a man. It is a bugbear to the imagination, and, though we do not believe in it, it still haunts our apprehensions.|William Hazlitt|Man, Believe, Stone 
The degree in which a poet's imagination dominates reality is, in the end, the exact measure of his importance and dignity.|George Santayana|Reality, End, Measure 
My proudest moment was probably when my oldest boy finished law school and went on to become an FBI agent. It was just beyond my imagination that - with my background - my own son would become an FBI agent.|Frank Abagnale|Son, School, Law 
I've proven I'm courageous. I'm gutsier than anybody; I've got a better imagination than anybody; I'm essentially more creative than any other actor I know, and I've proven I take risks. I don't think I need to prove anything to myself any more.|Michael Keaton|Myself, Creative, Risks 
To make extra money, my parents would sell eggs and chickens. I was very little. I remember a chicken's head being chopped off with the chicken running around. I wasn't sure if my imagination was running away with me or if it really happened. It really happened.|Michael Keaton|Money, Parents, Me 
Anything I did with the WWE was not therapeutic by any stretch of the imagination. The reality is that nobody's going to tell you that, because they have an umbilical cord hooked to Vince McMahon. I, ladies and gentlemen, do not.|Bill Goldberg|Reality, You, Nobody 
The new age of terrorism isn't on the battlefield: it's in your own backyard. Whether it's at a concert in France or a restaurant in the United States, terrorism doesn't have to happen in a military installation by any stretch of the imagination.|Bill Goldberg|Age, Military, Restaurant 
Whether it's at a concert in France or a restaurant in the United States, terrorism doesn't have to happen in a military installation by any stretch of the imagination.|Bill Goldberg|Military, Restaurant 
I didn't choose Goldberg because I wanted to be the flagship for the Jewish movement, not by any stretch of the imagination. I chose Goldberg because no one else can own it.|Bill Goldberg|Stretch, Choose, Movement 
It's what still excites me most about acting: letting your imagination go places it's never been before. There's nothing better than that.|Robin Wright|Me, Acting, Better 
Out with stereotypes, feminism proclaims. But stereotypes are the west's stunning sexual personae, the vehicles of art's assault against nature. The moment there is imagination, there is myth.|Camille Paglia|Nature, Art, Moment 
Ideas seem to come from everywhere - my life, everything I see, hear, and read, and most of all, from my imagination. I have a lot of imagination.|Judy Blume|Life, Ideas, My Life 
For some reason I can't explain, artist and musicians tend to look younger than our age. Being in music, you need this youthful sense of discovery and wonder for what you're doing and keep your imagination open. That's a youthful way of looking at life and I think that reflects in how you age.|Joshua Bell|Life, Music, Age 
Edgy is fine - I'm not a prude by any stretch of the imagination - but what's wrong with a good ol' belly laugh? I miss that.|Carol Burnett|Good, Laugh, Edgy 
I want to liberate my imagination and my mind with every kind of movie. That is what I wanted to do all my life.|Alejandro Jodorowsky|Life, Mind, My Life 
So often, science fiction helps to get young people interested in science. That's why I don't mind talking about science fiction. It has a real role to play: to seize the imagination.|Michio Kaku|Science, Mind, People 
I don't want to go on much longer, really. I think that would suggest a lack of imagination. A certain lack of dignity also.|Morrissey|Want, Dignity, Think 
Nobody would know it to look at me, but the movies I liked as a kid were musicals - 'All That Jazz,' 'Hair,' 'Fame,' 'Annie,' all that stuff - that's where my little youthful imagination was.|Juliette Lewis|Hair, Me, Jazz 
I have more of a vivid imagination than I have talent. I cook up ideas. It's just a characteristic.|Francis Ford Coppola|Ideas, Talent, Up 
It takes no imagination to live within your means.|Francis Ford Coppola|Live, Within, Your 
I'm essentially the result of other people's imagination. And that's fine. Because of other people's imagination, I've played parts I would never have thought I could do. Still, I've never had a hankering or an ambition for any particular role.|John Hurt|Ambition, Thought, People 
Acting is an imaginative exercise. It would be odd if you didn't try to identify with the roles you play, but I think I can differentiate between where my imagination is leading me and where I actually am.|John Hurt|Me, Acting, Exercise 
I would love to meet J.K. Rowling and tell her how much I admire her writing and am amazed by her imagination. I read every 'Harry Potter' book as it came out and looked forward to each new one. I am rereading them now with my kids and enjoying them every bit as much. She made me look at jelly beans in a whole new way.|Sheryl Sandberg|Love, I Am, Writing 
The Anthroposophical Society is different from other societies in that it will not tolerate any figments of the imagination in its organization but is constructed on the basis of reality.|Rudolf Steiner|Society, Reality 
Sometimes when you've got too much money you lose your imagination.|Paloma Faith|Money, You, Sometimes 
The realities of the world seldom measure up to the sublime designs of human imagination.|Bryant H. McGill|World, Measure, Human 
A good comic explores the imagination, but it's always got to have those notes of truth running through it.|Michael Pena|Good, Truth, Through 
I wouldn't say I have comedy chops. I guess you get lucky with good writing because I don't think I'm a comedian by any stretch of the imagination.|Michael Pena|Good, Writing, Think 
For me, when I do my best acting, it's mainly imagination. Then I really have a lot of fun with it.|Michael Pena|Best, Fun, Me 
Life is possible only by the deficiencies of our imagination and memory.|Emile M. Cioran|Life, Memory, Possible 
Everything, I think, about acting is based on imagination.|Christina Ricci|Acting, Think, Everything 
The faking of feelings is a sin against the imagination.|Seamus Heaney|Feelings, Sin, Against 
I'm very conscious that people dear to me are alive in my imagination - poets in particular.|Seamus Heaney|Me, People, Alive 
I'm not such a fan of imagination. If you're alive to details, they oftentimes suggest a richer or deeper imaginative line than you would have imagined.|Edmund White|Details, You, Line 
I've developed a theory that there's an inverse relationship between money and imagination. That if you've got lots of imagination then you don't really need much money, and if you've got lots of money then you won't bother with much imagination.|Alan Moore|Relationship, Money, You 
Well, I'm not a method actress by any stretch of the imagination so the best thing that I can do is be as real as possible and find whatever commonality in that character that I can see myself.|Rashida Jones|Best, Myself, Character 
Reading a book, watching a movie, going to a play, it's transporting, and very, very exciting. And to be a part of that, creating things with your imagination, whoa.|Steve Carell|Reading, Book, Play 
Another side to me is this very sexual being. When I look back on my life, it's always been there. It's been there since I was 10 years old, having the imagination that I had.|Janet Jackson|Life, Me, My Life 
I had a pretty sexual imagination for a kid.|Janet Jackson|Kid, Pretty, Had 
Don Quixote's misfortune is not his imagination, but Sancho Panza.|Franz Kafka|Misfortune, His, Quixote 
For those without money, the road to that treasure house of the imagination begins at the public library.|Pete Hamill|Money, Road, Library 
I don't profess to be Shonda Rhimes by any stretch of the imagination, or Dick Wolf. They're icons. I'm a filmmaker.|Lee Daniels|Wolf, Stretch, Icons 
I wanted to inspire every little girl who wants to be a dancer to fire their imagination about the joys of being on the stage.|Darcey Bussell|Girl, Fire, Inspire 
I want everyone to put their views forward, every union branch, every party branch, so we develop organically the strengths we all have, the imagination we all have.|Jeremy Corbyn|Party, Want, Forward 
The longer I look at something, the more my imagination churns and I can find somewhere to put it.|Alex Guarnaschelli|I Can, Look, Find 
What I really have in my head, my imagination, my understanding of music, I never really get that out.|Wynton Marsalis|Music, Understanding, Head 
