quote,author,category
"Don't you ever feel like, what if the world really IS messed up? What if we COULD Do it all over again from scratch? No more war. Nobody homeless. No more summer reading homework.'m listening. Annabeth: I mean, the West represents a lot of the best things mankind ever did--that's why the fire is still burning. That's why OlympusIs still around. But sometimes you just see the bad stuff, you know? And you start thinking the way Luke does: 'If I could tear this all down, i would do it better.'. Don't you ever feel that way? Like YOU could do a better job I'd you ran the world?Percy:Um...no. Me running the world would be kind of a nightmare. Annabeth: then you're lucky. Hubris isn't your fatal flaw.Percy: what is?Annabeth: I don't know, Percy, but every hero has one. If you don't find it and learn to control it...well, they don't call it 'fatal' for nothing. Percy(thinking to himself): I thought about that. It didn't exactly cheer me up.","Rick Riordan, The Sea of Monsters","annabeth-chase, fatality, flaws, hubris, percy-jackson, percy-jackson-and-the-olympians, rick-riordan, the-sea-of-the-monsters"
"Hey, why do pegasi gallop as they fly, an","Rick Riordan, The Last Olympian","blackjack, percy-jackson"
"The crew gathered for a hurried meeting on the foredeck – mostly because Percy was keeping an eye on a giant red sea serpent swimming off the port side. ‘That thing is really red,’ Percy muttered. ‘I wonder if it’s cherry-flavoured.’ ‘Why don’t you swim over and find out?’ Annabeth asked. ‘How about no.","Rick Riordan, The Blood of Olympus","annabeth-chase, percy-jackson, the-blood-of-olympus"
"Thanks for not freaking out,"" I said.""Oh, I'm freaking out,"" Paul promised, his eyes wide. ""I just think it's awesome!","Rick Riordan, The Last Olympian","freaking-out, paul, percy-jackson"
"Tell me when it's over "" Thalia said. Her eyes were shut tight. The statue was holding on to us so we couldn't fall but still Thalia clutched his arm like it was the most important thing in the world. ""Everything's fine "" I promised. ""Are... are we very high "" I looked down. Below us a range of snowy mountains zipped by. I stretched out my foot and kicked snow off one of the peaks. ""Nah "" I said. ""Not that high.","Rick Riordan, The Titan's Curse","percy-jackson, thalia-grace"
"You saved the world,"" annabeth said.""We saved the world.""""And Rachel is the new Oracle, which means she won't be dating anybody.""""You don't sound disappointed,"" I noticed.Annabeth shrugged. ""Oh, I don't care.""""Uh-huh.""She raised an eyebrow. ""You got something to say to me, Seaweed Brain?""""You'd probably kick my butt.""""You know I'd kick your butt.""I brushed the cake off my hands. ""When I was at the River Styx, turning invulnerable . . . Nico said I had to concentrate on one thing that kept me anchored to the world, that made me want to stay mortal.""Annabeth kept her eyes on the horizon. ""Yeah?""""Then up on Olympus,"" I said, ""when they wanted to make me a god and stuff, I kept thinking—""""Oh, you so wanted to.""""Well, maybe a little. But I didn't, because I thought—I didn't want things to stay the same for eternity, becausethings could always get better. And I was thinking . . ."" My throat felt really dry.""Anyone in particular?"" Annabeth asked, her voice soft.I looked over and saw that she was trying not to smile.""You're laughing at me,"" I complained.""I am not!""""You are so not making this easy.""Then she laughed for real, and she put her hands around my neck. ""I am never, ever going to make things easy foryou, Seaweed Brain. Get used to it.""When she kissed me, I had the feeling my brain was melting right through my body. I could've stayed that way forever, except a voice behind us growled, ""Well, it's about time!""Suddenly the pavilion was filled with torchlight and campers. Clarisse led the way as the eavesdroppers charged and hoisted us both onto their shoulders.""Oh, come on!"" I complained. ""Is there no privacy?""""The lovebirds need to cool off!"" Clarisse said with glee.""The canoe lake!"" Connor Stoll shouted. and they dumped us in the water.","Rick Riordan, The Last Olympian","annabeth-chase, it-s-about-time, percy-jackson"
"Fish gathered to look at us - a school of baracudas, some curious marines. SCRAM! I told them. They swam off, but I could tell they went reluctantly. I swear I understood their intencions. They were about to star rumors flighing around the sea about the son of poseidon and some girl at the bottom of Siren Bay.","Rick Riordan, The Sea of Monsters","annabeth-chase, percy-jackson, siren-bay"
"Jason's fingers itched to draw his sword. He'd met plenty of scary demigods, but he was starting to realize that Nico di Angelo--as pale and gaunt as he looked--might be more than he could handle.","Rick Riordan, The House of Hades","heroes-of-olympus, house-of-hades, jason-grace, nico-di-angelo, percy-jackson"
"Wait just a minute,"" Ares growled. He pointed at Thalia and me. ""These two are dangerous. It'd be much safer, while we've got them here—""""Ares,"" Poseidon interrupted, ""they are worthy heroes. We will not blast my son to bits.""""Nor my daughter,"" Zeus grumbled. ""She has done well.","Rick Riordan, The Titan's Curse","ares, percy-jackson, poseidon, thalia-grace, zeus"
"My faithful companion, Zoe Nightshade, has passed into the stars. I must have a new lieutenant. And I intend to choose one. But first, Father Zeus, I must speak to you privately.""Zeus beckoned Artemis forward. He leaned down and listened as she spoke in his ear.A feeling of panic seized me. ""Annabeth,"" I said under my breath. ""Don't.""She frowned at me. ""What?""Look, I need to tell you something,"" I continued. The words came stumbling out of me. ""I couldn't stand it if… I don't want you to—""Percy?"" she said. ""You look like you're going to be sick.""And that's how I felt. I wanted to say more, but my tongue betrayed me. It wouldn't move because of the fear in my stomach","Rick Riordan, The Titan's Curse","annabeth-chase, artemis, percy-jackson, zeus, zoe-nightshade"
