quote,author,category
I was always embarrassed because my dad wore a suit and my mother wore flat pumps and a cozy jumper while my friends' parents were punks or hippies.,Shirley Manson,"Friends, Mother, Parents "
"'Dirt On My Boots' is a very different song. I heard the melody, and I heard the lyrics, and I heard the drive of that song. I totally related. It was kinda me when I was on my bulldozer working for my dad.",Jon Pardi,"Song, Me, Boots "
"My dad was in the military, yeah. He was in the Air Force, and he was a doctor, so he would go places for six months here, and two years there. And I was home-schooled because I played the violin, and I did a lot of competitions.",Felicia Day,"Doctor, Military, Air Force "
"When I turned 11, my dad decorated a room at the Standard hotel in Los Angeles in a '60s, Austin Powers style. There was human bowling: You run inside a giant inflatable ball and try to knock down pins. To this day, adults say it was one of the craziest parties they've ever been to.",Zoe Kravitz,"Day, Style, Austin "
"I mean, my dad's a television producer, and I knew I could get a job as an assistant or a reader with one of his friends, but it wasn't exactly what I wanted to do.",J. J. Abrams,"Friends, Job, Television "
"Mum and Dad sent us to a bilingual school, so we had half the lessons in English and half in French. But I remember being hugely lost.",Rose Leslie,"School, Lost, Remember "
"We were brought up Protestant, and I went to church three times a day on a Sunday. My parents weren't Bible-bashers, but we all have a strong belief in God and a strong faith. We had a huge garden; our house was a bit like a scene from 'The Good Life.' I think Mam and Dad had it really hard, bringing up a big family on very little.",Bonnie Tyler,"Life, Family, Good "
My father... had sharper eyes than the rest of our people.,Chief Joseph,"Father, Eyes, People "
"I said something really stupid once. I told a friend that my mother was so beautiful, but my dad was ugly. My dad heard it and just laughed it off, but I felt guilty. It haunted me for years. I should never have said that.",Gene Wilder,"Beautiful, Mother, Stupid "
They have had such a crazy life living with me as their dad. Not crazy but different from their friends.,Sebastian Bach,"Life, Friends, Crazy "
"Honestly, I was such a tomboy as a kid. People were taking from their mothers' closets - I was taking from my dad's closet. It was the '80s, so it wasn't terrible, but I was wearing my dad's dress shirts over jeans from the Gap.",Lauren Graham,"Dress, People, Jeans "
I pop gum. My parents get so annoyed with me. I know my dad wishes he never taught me how to do that.,Hilary Duff,"Parents, Me, Know "
"I watch political shows for a number of weeks in a row, and all I see are guys arguing with each other over issues I have no idea about. My brother, he loves war-torn places. My dad would always read the paper and tell me I should watch CNN, but I usually wind up watching 'Breaking Bad.'",Norm MacDonald,"Brother, Wind, Me "
My girls are great at making fun of Dad. They're never impressed with anything I do. I love that. I hope that never changes.,Alex Rodriguez,"Love, Hope, Great "
"My dad took me for an audition once, to show me, 'OK, you want to be a child actor, this is what it's like.' I sang a folk song about donkeys on this West End stage with this big director, and there was a queue of 200 girls all singing 'Memory.' I was terrible. Terrible.",Emilia Clarke,"Memory, Child, Me "
"My dad wanted to name me after Rainier Maria Rilke, the poet.",Rainn Wilson,"Me, Name, Wanted "
"The entertainment industry isn't a line of work encouraged in the Persian culture. When I called my dad to say I wanted to quit medicine, there was about three minutes of silence. I'm not sure he knew what to do with himself!",Nazanin Boniadi,"Work, Culture, Silence "
Watching your husband become a father is really sexy and wonderful.,Cindy Crawford,"Father, Sexy, Husband "
"My dad works in child protection and he's spent many, many years in that line of work.",Chris Hemsworth,"Work, Child, Protection "
"My dad talks about the times when we'd play backyard cricket: If I got bowled out, I'd just refuse to let go of the bat and swing it at anyone who tried to take it away from me. I like to think that's been tempered a bit over the years.",Chris Hemsworth,"Me, Think, Play "
"My dad shaped the footballing side of me, and Mum shaped me as a person. I've always been very close to her - we've only ever had one argument, and that was over something stupid when I was 13.",Frank Lampard,"Stupid, Me, Argument "
"I went to my dad when I was 17 and said, 'I want to be a country music star.' Which every dad loves to hear. And he said, 'I want you to go to college.' So we had a discussion. And I'm pretty stubborn. I'm a lot like him. And he said, 'If you go to college and graduate, I'll pay your first six months of rent in Nashville.' So he bribed me.",Eric Church,"Music, College, Me "
"You can't be the dad who takes your kid out after your wife has said, 'No ice cream,' buys the ice cream, and says, 'Don't tell your mother.' You teach the child to lie - and to disrespect the other parent.",Howie Mandel,"Mother, Wife, Child "
